,NAM,Gene_Type,Sum_gene,gene_pct
1,B73,Core Gene       ,27856,58.69487347
5,B97,Core Gene       ,27856,58.32984337
9,CML103,Core Gene       ,27856,58.7840547
13,CML228,Core Gene       ,27856,58.97946221
17,CML247,Core Gene       ,27856,58.57884886
21,CML277,Core Gene       ,27856,58.6491494
25,CML322,Core Gene       ,27856,59.00944795
29,CML333,Core Gene       ,27856,58.36406302
33,CML52,Core Gene       ,27856,59.70251618
37,CML69,Core Gene       ,27856,58.64297594
41,HP301,Core Gene       ,27856,58.94825944
45,Il14H,Core Gene       ,27856,59.10962102
49,Ki11,Core Gene       ,27856,58.73323775
53,Ki3,Core Gene       ,27856,58.44610898
57,Ky21,Core Gene       ,27856,58.33350784
61,M162W,Core Gene       ,27856,58.10111797
65,M37W,Core Gene       ,27856,58.09627096
69,Mo18W,Core Gene       ,27856,58.51854964
73,Ms71,Core Gene       ,27856,58.48292079
77,NC350,Core Gene       ,27856,58.54314657
81,NC358,Core Gene       ,27856,58.68992689
85,Oh43,Core Gene       ,27856,58.64544517
89,Oh7B,Core Gene       ,27856,58.56160784
93,P39,Core Gene       ,27856,58.98570672
97,Tx303,Core Gene       ,27856,58.67014891
101,Tzi8,Core Gene       ,27856,58.57884886
2,B73,Dispensable Gene,15207,32.04239449
6,B97,Dispensable Gene,15371,32.18653154
10,CML103,Dispensable Gene,14785,31.20054023
14,CML228,Dispensable Gene,14830,31.39953419
18,CML247,Dispensable Gene,14820,31.16522617
22,CML277,Dispensable Gene,14730,31.01313795
26,CML322,Dispensable Gene,14797,31.34559166
30,CML333,Dispensable Gene,15025,31.48047268
34,CML52,Dispensable Gene,14429,30.92502893
38,CML69,Dispensable Gene,14782,31.11934486
42,HP301,Dispensable Gene,14739,31.19035023
46,Il14H,Dispensable Gene,14547,30.86831049
50,Ki11,Dispensable Gene,14862,31.33591971
54,Ki3,Dispensable Gene,15099,31.67998993
58,Ky21,Dispensable Gene,15383,32.21368291
62,M162W,Dispensable Gene,15584,32.50458869
66,M37W,Dispensable Gene,15290,31.88871277
70,Mo18W,Dispensable Gene,14685,30.84954414
74,Ms71,Dispensable Gene,15249,32.01486427
78,NC350,Dispensable Gene,15047,31.62330293
82,NC358,Dispensable Gene,14940,31.47715062
86,Oh43,Dispensable Gene,15098,31.78593234
90,Oh7B,Dispensable Gene,14995,31.52395568
94,P39,Dispensable Gene,14673,31.07040762
98,Tx303,Dispensable Gene,14848,31.27277323
102,Tzi8,Dispensable Gene,14886,31.30401867
3,B73,Private Gene    ,412,0.868117744
7,B97,Private Gene    ,531,1.111902169
11,CML103,Private Gene    ,798,1.684006162
15,CML228,Private Gene    ,780,1.651492695
19,CML247,Private Gene    ,907,1.907345488
23,CML277,Private Gene    ,962,2.025433721
27,CML322,Private Gene    ,781,1.654450705
31,CML333,Private Gene    ,864,1.810258129
35,CML52,Private Gene    ,805,1.725320417
39,CML69,Private Gene    ,894,1.882065641
43,HP301,Private Gene    ,706,1.494021797
47,Il14H,Private Gene    ,808,1.714552476
51,Ki11,Private Gene    ,773,1.629838914
55,Ki3,Private Gene    ,703,1.475000525
59,Ky21,Private Gene    ,563,1.178983519
63,M162W,Private Gene    ,602,1.25563157
67,M37W,Private Gene    ,841,1.753983482
71,Mo18W,Private Gene    ,1241,2.607033318
75,Ms71,Private Gene    ,558,1.171505952
79,NC350,Private Gene    ,684,1.437518389
83,NC358,Private Gene    ,681,1.434801846
87,Oh43,Private Gene    ,616,1.296869408
91,Oh7B,Private Gene    ,1204,2.531166565
95,P39,Private Gene    ,868,1.838009529
99,Tx303,Private Gene    ,796,1.676530677
103,Tzi8,Private Gene    ,936,1.968330074
4,B73,Softcore Gene       ,3984,8.394614299
8,B97,Softcore Gene       ,3998,8.371722925
12,CML103,Softcore Gene       ,3948,8.331398907
16,CML228,Softcore Gene       ,3764,7.969510904
20,CML247,Softcore Gene       ,3970,8.34857948
24,CML277,Softcore Gene       ,3948,8.312278929
28,CML322,Softcore Gene       ,3772,7.990509681
32,CML333,Softcore Gene       ,3983,8.345206168
36,CML52,Softcore Gene       ,3568,7.647134468
40,CML69,Softcore Gene       ,3969,8.355613566
44,HP301,Softcore Gene       ,3954,8.367368532
48,Il14H,Softcore Gene       ,3915,8.307516021
52,Ki11,Softcore Gene       ,3937,8.301003627
56,Ki3,Softcore Gene       ,4003,8.398900569
60,Ky21,Softcore Gene       ,3951,8.273825728
64,M162W,Softcore Gene       ,3902,8.138661772
68,M37W,Softcore Gene       ,3961,8.261032786
72,Mo18W,Softcore Gene       ,3820,8.024872904
76,Ms71,Softcore Gene       ,3968,8.330708992
80,NC350,Softcore Gene       ,3995,8.396032113
84,NC358,Softcore Gene       ,3986,8.398120641
88,Oh43,Softcore Gene       ,3929,8.27175309
92,Oh7B,Softcore Gene       ,3512,7.383269914
96,P39,Softcore Gene       ,3828,8.105876125
100,Tx303,Softcore Gene       ,3979,8.380547189
104,Tzi8,Softcore Gene       ,3875,8.148802389